"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"43",0.5,1,0.25,10,0.01,0.75,2,0.602475646742058,0.746490272246501,0.452704178557927,10,0.00750483080336548,0.905661706630977,1.91558188974147,400
"44",0.5,1,0.25,10,0.01,0.75,2,0.373481914455184,1.3241879674851,0.0038422114646614,10,0.0118054762815805,0.69248730027351,1.94897242122452,400
"45",0.5,1,0.25,10,0.01,0.75,2,0.558515326761758,0.718583106076636,0.471445294284402,10,0.0137254240519349,0.731368135463305,2.05661390656137,400
"46",0.5,1,0.25,10,0.01,0.75,2,0.29069360457656,1.35962216032842,1.98968727871078e-05,10,0.0131099325007185,0.720645107338958,2.01625860644431,400
"47",0.5,1,0.25,10,0.01,0.75,2,0.555734006562725,0.798845498639301,0.384312498358371,10,0.0132320898564569,0.713774767898978,1.96702094143238,400
"48",0.5,1,0.25,10,0.01,0.75,2,0.531531136329041,0.815999451816606,0.385193726819972,10,0.00984551909937001,0.821115421501,1.96617044792608,400
"49",0.5,1,0.25,10,0.01,0.75,2,0.437745895020404,1.16037292280687,0.157449902790597,10,0.0121294428709731,0.73554973693891,2.04932208877304,400
"50",0.5,1,0.25,10,0.01,0.75,2,0.359398944980257,1.2492217886338,5.03436068555223e-06,10,0.00801042003214385,0.825461776654603,1.98991022202318,400
"51",0.5,1,0.25,10,0.01,0.75,2,0.39448650324706,1.20387139037278,0.0474613456874803,10,0.0157471550769156,0.661309120318846,1.97989831577792,400
"52",0.5,1,0.25,10,0.01,0.75,2,0.303859407204627,1.31980228322269,0.00361048910973491,10,0.00880953203535643,0.821452161787092,2.0628783388031,400
"53",0.5,1,0.25,10,0.01,0.75,2,0.635178730385619,0.879617332047544,0.388300553539533,10,0.00593939851588593,0.904532236727282,1.97875240619238,400
"54",0.5,1,0.25,10,0.01,0.75,2,0.536613180526619,1.20379249017794,0.138384829220503,10,0.00962077390832582,0.660323315151118,1.99296776498783,400
"55",0.5,1,0.25,10,0.01,0.75,2,0.268373800226532,1.40210776308386,0.0332078120927743,10,0.0131194274448439,0.726253021698895,1.94226160642299,400
"56",0.5,1,0.25,10,0.01,0.75,2,0.454487460446628,0.990999304018865,0.257337995421213,10,0.0102001340225269,0.81010656952516,1.85433332705942,400
"57",0.5,1,0.25,10,0.01,0.75,2,0.322366839642923,0.95676265502638,0.29738172367754,10,0.0197064977228316,0.778109464149179,1.95932378088001,400
